depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
791.56,12489,6,1,6.2,0.3444,0.352,-0.0076,0.412,0.58,0.7682,0.58,-0.5666,3.47,0.51,0,0,0,0,0,0,2,331,,,,,,,,,,
792.67,12509,3,1,3,0.1735,0.3563,-0.1827,0.3981,0.5622,0.7462,0.5622,-0.5583,3.49,0.59,0,0,0,0,0,0,1.97,331,,,,,,,,,,
793.82,12529,6,1,6.4,0.3285,0.3603,-0.0318,0.3831,0.5431,0.7224,0.5431,-0.549,3.53,0.33,0,0,0,0,0,0,1.93,331,,,,,,,,,,
794.85,12549,3,1,2.75,0.1141,0.3632,-0.2491,0.3671,0.5226,0.6969,0.5226,-0.539,3.58,0.41,0,0,0,0,0,0,1.9,331,,,,,,,,,,
795.68,12569,1,1,1.4,0.0439,0.3647,-0.3207,0.3501,0.5009,0.6699,0.5009,-0.5285,3.64,0.41,0,0,0,0,0,0,1.86,331,,,,,,,,,,
796.31,12589,1,1,1,0.0256,0.3631,-0.3374,0.3325,0.4783,0.6418,0.4783,-0.5173,3.71,0.52,0,0,0,0,0,0,1.83,331,,,,,,,,,,
796.82,12609,6,1,5.55,0.15,0.3575,-0.2075,0.3142,0.4549,0.6126,0.4549,-0.5056,3.8,0.39,0,0,0,0,0,0,1.8,331,,,,,,,,,,
797.36,12629,8,1,8,0.2222,0.348,-0.1258,0.2955,0.4308,0.5825,0.4308,-0.4931,3.91,0.42,0,0,0,0,0,0,1.77,331,,,,,,,,,,
797.92,12649,17,1,17.35,0.5639,0.3354,0.2285,0.2765,0.4062,0.5517,0.4062,-0.4797,4.03,0.72,0,0,0,0,0,0,1.74,331,,,,,,,,,,
798.57,12669,18,1,17.6,0.5937,0.3209,0.2729,0.257,0.381,0.52,0.381,-0.4654,4.17,0.3,0,0,0,0,0,0,1.71,331,,,,,,,,,,
