depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
441.63,10455,3,1,2.67,0.3651,0.2354,0.1297,0.1663,0.2733,0.3933,0.2733,-0.4574,3.35,0.01,0,0,0,0,0,0,5.8,151,,,,,,,,,,
442.86,10464,2,1,2.11,0.2681,0.2378,0.0303,0.1632,0.2691,0.3878,0.2691,-0.4537,3.32,0.44,0,0,0,0,0,0,5.78,151,,,,,,,,,,
444,10473,1,1,1,0.1111,0.2407,-0.1296,0.1603,0.2651,0.3826,0.2651,-0.4503,3.3,0.01,0,0,0,0,0,0,5.77,151,,,,,,,,,,
445,10482,0,1,0,0,0.2441,-0.2441,0.1576,0.2614,0.3776,0.2614,-0.4469,3.28,0.02,0,0,0,0,0,0,5.75,151,,,,,,,,,,
446,10491,1,1,0.89,0.1097,0.2477,-0.138,0.155,0.2577,0.3729,0.2577,-0.4437,3.26,0.19,0,0,0,0,0,0,5.74,151,,,,,,,,,,
447.11,10500,0,1,0,0,0.2515,-0.2515,0.1525,0.2543,0.3683,0.2543,-0.4406,3.25,0.08,0,0,0,0,0,0,5.73,151,,,,,,,,,,
448.13,10509,0,1,0.22,0.0271,0.2555,-0.2284,0.15,0.2508,0.3639,0.2508,-0.4376,3.24,0.19,0,0,0,0,0,0,5.71,151,,,,,,,,,,
449.22,10518,2,1,2.33,0.2757,0.2596,0.0161,0.1475,0.2475,0.3594,0.2475,-0.4346,3.23,0.01,0,0,0,0,0,0,5.7,151,,,,,,,,,,
450.29,10527,5,1,5.22,0.8013,0.2637,0.5376,0.1451,0.2441,0.3551,0.2441,-0.4318,3.23,0.02,0,1,1,1,0,2.6411,5.68,151,,,,,,,,,,
451.67,10536,3,1,3,0.4444,0.2679,0.1766,0.1426,0.2407,0.3507,0.2407,-0.429,3.22,0.1,1,0,0,0,0,0,5.67,152,,,,,,,,,,
453,10545,0,1,0,0,0.272,-0.272,0.1401,0.2374,0.3463,0.2374,-0.4263,3.22,0.03,0,0,0,0,0,0,5.66,152,,,,,,,,,,
454.38,10554,0,1,0,0,0.2761,-0.2761,0.1377,0.234,0.342,0.234,-0.4237,3.22,0.09,0,0,0,0,0,0,5.64,152,,,,,,,,,,
455.67,10563,3,1,3.11,0.4177,0.28,0.1377,0.1353,0.2307,0.3378,0.2307,-0.4212,3.22,0.04,0,0,0,0,0,0,5.63,152,,,,,,,,,,
456.88,10572,3,1,3.11,0.3889,0.2839,0.105,0.1329,0.2276,0.3337,0.2276,-0.4187,3.22,0.01,0,0,0,0,0,0,5.61,152,,,,,,,,,,
458,10581,0,1,0.11,0.0141,0.2877,-0.2736,0.1307,0.2245,0.3298,0.2245,-0.4163,3.23,0.01,0,0,0,0,0,0,5.6,153,,,,,,,,,,
459.14,10590,2,1,1.67,0.2698,0.2914,-0.0216,0.1286,0.2217,0.3261,0.2217,-0.414,3.23,0.03,0,0,0,0,0,0,5.58,153,,,,,,,,,,
460.6,10599,3,1,2.89,0.5029,0.295,0.2079,0.1266,0.219,0.3226,0.219,-0.4119,3.24,0.12,0,0,0,0,0,0,5.57,153,,,,,,,,,,
462.17,10608,1,1,1.11,0.2016,0.2985,-0.0968,0.1248,0.2166,0.3194,0.2166,-0.4098,3.25,0.01,0,0,0,0,0,0,5.55,153,,,,,,,,,,
463.8,10617,3,1,3.33,0.5503,0.3018,0.2485,0.1232,0.2144,0.3165,0.2144,-0.4078,3.26,0.04,0,1,0,1,0,0.3067,5.54,153,,,,,,,,,,
465.29,10626,3,1,2.56,0.329,0.305,0.024,0.1219,0.2124,0.3139,0.2124,-0.4059,3.27,0.02,0,0,0,0,0,0,5.52,153,,,,,,,,,,
466.44,10635,1,1,1.11,0.1303,0.308,-0.1777,0.1207,0.2107,0.3116,0.2107,-0.404,3.29,0.06,0,0,0,0,0,0,5.5,154,,,,,,,,,,
467.5,10644,0,1,0,0,0.3107,-0.3107,0.1197,0.2093,0.3097,0.2093,-0.4023,3.3,0.05,0,0,0,0,0,0,5.49,154,,,,,,,,,,
468.56,10653,2,1,2.22,0.2861,0.3132,-0.0271,0.1189,0.2081,0.308,0.2081,-0.4006,3.32,0.03,0,0,0,0,0,0,5.47,155,,,,,,,,,,
469.71,10662,2,1,2.44,0.3153,0.3155,-0.0002,0.1184,0.2072,0.3067,0.2072,-0.3991,3.33,0.06,0,0,0,0,0,0,5.45,155,,,,,,,,,,
470.88,10671,7,1,7.33,0.7537,0.3174,0.4363,0.1181,0.2065,0.3057,0.2065,-0.3975,3.35,0.1,0,0,0,0,0,0,5.44,156,,,,,,,,,,
471.8,10680,6,1,6.44,0.7001,0.319,0.3811,0.1179,0.2061,0.305,0.2061,-0.3961,3.37,0.03,0,0,0,0,1,4.0478,5.42,157,,,,,,,,,,
472.78,10689,3,1,2.89,0.3522,0.3203,0.0319,0.1179,0.2059,0.3044,0.2059,-0.3947,3.39,0.06,0,0,0,0,0,0,5.4,157,,,,,,,,,,
473.88,10698,5,1,4.67,0.5833,0.3211,0.2622,0.118,0.2057,0.3041,0.2057,-0.3933,3.41,0.02,0,0,0,0,0,0,5.38,158,,,,,,,,,,
475,10707,7,1,6.78,0.8472,0.3217,0.5256,0.1182,0.2057,0.3038,0.2057,-0.392,3.43,0.04,0,0,1,0,0,0,5.36,158,,,,,,,,,,
476.13,10716,5,1,4.56,0.5875,0.3218,0.2657,0.1184,0.2058,0.3037,0.2058,-0.3907,3.45,0.02,1,1,0,1,0,4.7988,5.34,159,,,,,,,,,,
477.29,10725,3,1,3,0.4048,0.3215,0.0832,0.1187,0.2059,0.3037,0.2059,-0.3894,3.47,0.02,0,0,0,0,0,0,5.32,159,,,,,,,,,,
478.5,10734,2,1,2.44,0.3298,0.3208,0.009,0.1191,0.2061,0.3037,0.2061,-0.3881,3.49,0.42,0,0,0,0,0,0,5.3,160,,,,,,,,,,
479.71,10743,3,1,2.78,0.3282,0.3196,0.0087,0.1195,0.2064,0.3039,0.2064,-0.3869,3.51,0.07,0,0,0,0,0,0,5.28,161,,,,,,,,,,
480.78,10752,4,1,3.78,0.3871,0.3179,0.0692,0.12,0.2068,0.3041,0.2068,-0.3857,3.53,0.07,0,0,0,0,0,0,5.25,162,,,,,,,,,,
481.7,10761,1,1,1.33,0.1333,0.3158,-0.1824,0.1206,0.2073,0.3045,0.2073,-0.3846,3.55,0.04,0,0,0,0,0,0,5.23,163,,,,,,,,,,
482.6,10770,0,1,0,0,0.3132,-0.3132,0.1213,0.2079,0.3049,0.2079,-0.3834,3.57,0.03,0,0,0,0,0,0,5.21,164,,,,,,,,,,
483.5,10779,1,1,1.33,0.1481,0.3102,-0.1621,0.122,0.2085,0.3055,0.2085,-0.3824,3.59,0.09,0,0,0,0,0,0,5.18,165,,,,,,,,,,
484.5,10788,2,1,1.89,0.2215,0.3068,-0.0853,0.1227,0.2093,0.3062,0.2093,-0.3814,3.62,0.08,0,0,0,0,0,0,5.16,166,,,,,,,,,,
485.56,10797,3,1,3.22,0.358,0.303,0.055,0.1236,0.2101,0.307,0.2101,-0.3804,3.64,0.02,0,0,0,0,0,0,5.13,167,,,,,,,,,,
486.56,10806,5,1,5,0.5556,0.2988,0.2567,0.1245,0.211,0.3079,0.211,-0.3795,3.66,0.08,0,0,0,0,1,0.4118,5.1,168,,,,,,,,,,
487.56,10815,3,1,3.33,0.3704,0.2944,0.0759,0.1254,0.2119,0.3088,0.2119,-0.3786,3.68,0.08,0,0,0,0,0,0,5.07,170,,,,,,,,,,
488.56,10824,2,1,2,0.2575,0.2898,-0.0323,0.1263,0.2128,0.3097,0.2128,-0.3778,3.7,0.08,0,0,0,0,0,0,5.05,171,,,,,,,,,,
489.71,10833,2,1,2,0.2363,0.285,-0.0487,0.1272,0.2137,0.3107,0.2137,-0.377,3.72,0.03,0,0,0,0,0,0,5.01,172,,,,,,,,,,
490.78,10842,5,1,5.11,0.5237,0.2801,0.2437,0.1281,0.2146,0.3117,0.2146,-0.3763,3.75,0.56,0,0,0,0,0,0,4.98,173,,,,,,,,,,
491.7,10851,5,1,5.33,0.6222,0.2751,0.3471,0.129,0.2156,0.3126,0.2156,-0.3757,3.77,0.74,0,0,0,0,0,0,4.95,174,,,,,,,,,,
492.75,10860,7,1,7.33,0.8374,0.27,0.5674,0.1298,0.2165,0.3136,0.2165,-0.375,3.79,0.5,1,1,1,1,0,5.6272,4.92,175,,,,,,,,,,
