Depth,Age,StronglyCoproPct,TotalFungiPct,StronglyCoproConc,Total.Fungi
600.5,8290,0,0.439037776,0,2563.172414
616.5,8598,0,0.159313725,0,871.078125
632.5,8911,0,0,0,0
648.5,9222,0.121515911,0.243031822,1173.663158,2347.326316
668.5,9621,0.327510917,0.655021834,2322.875,4645.75
680.5,9864,0.289274588,0.433911883,3982.071429,5973.107143
696.5,10175,0.072361355,0.072361355,838.3308271,838.3308271
712.5,10492,0.19138756,0.19138756,1760.494737,1760.494737
736.5,10967,0.179372197,0.179372197,1858.3,1858.3
752.5,11291,0.092272203,0.184544406,364.372549,728.745098
768.5,11615,0,0.124879244,0,432.1627907
784.5,12078,0,0.460122699,0,1045.29375
800.5,12573,0,0.109838663,0,357.3653846
818.5,13006,0.4176664,0.8353328,899.1774194,1798.354839
834.5,13270,0.546448087,0.819672131,1051.867925,1577.801887
850.5,13544,0.147367571,0.294735142,216.0813953,432.1627907
866.5,13810,0.56561086,1.131221719,2144.192308,4288.384615
882.5,14078,0,0.288536678,0,389.8531469
898.5,14316,0.364431487,0.364431487,633.5113636,633.5113636
914.5,14590,0.837072256,1.004486707,2034.635036,2441.562044
930.5,14860,1.447892699,1.689208149,3247.514563,3788.76699
946.5,15119,1.435662227,1.914216302,605.9673913,807.9565217
962.5,15369,2.460205017,3.280273356,1319.502959,1319.502959
978.5,15618,0,0.81387539,476.4871795,476.4871795
994.5,15867,0,0.648193162,273.2794118,273.2794118
1010.5,16110,1.45137881,1.45137881,832.0746269,832.0746269
1026.5,16353,2.054975552,2.054975552,605.9673913,605.9673913
1042.5,16595,0.539946483,0.539946483,290.359375,290.359375
1058.5,16836,0,0,0,0
1074.5,17083,0.708093442,0.708093442,1211.934783,1211.934783
1090.5,17330,0.671973372,0.671973372,589.9365079,589.9365079
1106.5,17598,0.26173174,0.523463481,201.9891304,403.9782609
1122.5,17868,1.422472327,1.422472327,728.745098,728.745098
1138.5,18091,1.769711575,1.769711575,1028.579336,1028.579336
1154.5,18266,0,0,0,0
1170.5,18443,1.482814348,1.482814348,677.1133603,677.1133603
1186.5,18640,2.617731231,2.617731231,1676.661654,1676.661654
