depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
674.1,9741,31,1,31.45,1.4976,1.5406,-0.0429,0.5714,0.8874,1.2416,0.8874,-1.2701,3.6,0.61,0,0,0,0,0,0,3.47,157,,,,,,,,,,
675.05,9761,40,1,40,1.9048,1.5064,0.3984,0.5545,0.862,1.2066,0.862,-1.2374,3.63,0.43,0,0,0,0,0,0,3.47,156,,,,,,,,,,
676,9781,33,1,33,1.65,1.4565,0.1935,0.5432,0.8435,1.18,0.8435,-1.2064,3.67,0.34,0,0,0,0,0,0,3.46,155,,,,,,,,,,
677,9801,70,1,70,3.5,1.4073,2.0927,0.5377,0.832,1.1619,0.832,-1.1774,3.72,0.41,0,0,0,0,0,0,3.46,155,,,,,,,,,,
678,9821,63,1,63,3,1.3589,1.6411,0.537,0.8265,1.1511,0.8265,-1.15,3.77,0.49,0,0,0,0,0,0,3.46,154,,,,,,,,,,
678.95,9841,73,1,72.5,3.3033,1.3109,1.9924,0.5401,0.8257,1.1458,0.8257,-1.1242,3.82,0.1,1,1,1,1,0,71.3232,3.45,155,,,,,,,,,,
679.86,9861,34,1,33.9,1.6033,1.2631,0.3402,0.5465,0.829,1.1457,0.829,-1.1,3.87,0.4,0,0,0,0,0,0,3.45,158,,,,,,,,,,
680.81,9881,32,1,31.8,1.6418,1.2154,0.4264,0.5556,0.8359,1.15,0.8359,-1.0776,3.92,0.47,0,0,0,0,0,0,3.45,162,,,,,,,,,,
681.84,9901,42,1,42.35,2.1342,1.168,0.9663,0.5665,0.8451,1.1574,0.8451,-1.0569,3.97,0.56,1,1,0,1,0,2.4224,3.45,165,,,,,,,,,,
682.85,9921,15,1,15.1,0.7888,1.1208,-0.332,0.5778,0.8551,1.166,0.8551,-1.0381,4.01,0.6,0,0,0,0,0,0,3.44,168,,,,,,,,,,
683.89,9941,13,1,12.7,0.7018,1.0739,-0.372,0.5878,0.8639,1.1734,0.8639,-1.0209,4.04,0.67,0,0,0,0,0,0,3.44,173,,,,,,,,,,
685,9961,13,1,13,0.65,1.0275,-0.3775,0.5952,0.8699,1.1777,0.8699,-1.0051,4.06,0.71,0,0,0,0,0,0,3.43,179,,,,,,,,,,
686,9981,7,1,7,0.35,0.9823,-0.6323,0.5988,0.8716,1.1773,0.8716,-0.9905,4.07,0.65,0,0,0,0,0,0,3.42,185,,,,,,,,,,
687,10001,3,1,3.1,0.1636,0.9391,-0.7755,0.5979,0.8682,1.171,0.8682,-0.9767,4.06,0.63,0,0,0,0,0,0,3.4,192,,,,,,,,,,
688.06,10021,6,1,5.6,0.3044,0.8988,-0.5943,0.5923,0.8593,1.1586,0.8593,-0.9636,4.04,0.58,0,0,0,0,0,0,3.38,198,,,,,,,,,,
689.14,10041,9,1,9,0.4331,0.8622,-0.4291,0.5822,0.8454,1.1403,0.8454,-0.9513,4,0.67,0,0,0,0,0,0,3.36,205,,,,,,,,,,
690.11,10061,9,1,9.45,0.4974,0.8298,-0.3324,0.5681,0.8269,1.117,0.8269,-0.9399,3.95,0.81,0,0,0,0,0,0,3.33,213,,,,,,,,,,
