Depth,Age,spike.conc,Pinaceae,Abies.undiff.,Picea.undiff.,Picea.glauca,Picea.mariana,Pinus.undiff.,Pinus.strobus,Pinus.resinosa,Pinus.banksiana,Quercus.rubra,Quercus.undiff.,Fagaceae,Salix.undiff.,Ulmus.undiff.,Carya,Fraxinus.nigra,Fraxinus.pennsylvanica,Fraxinus.americana,Fraxinus,Ambrosia,Iva,Asteraceae,Corylus,Acer.undiff.,Acer.negundo,Acer.saccharum,Acer.rubrum,Acer.saccharinum,Poaceae,Rumex,Cornaceae,Juglans.cinerea,Alnus,Cyperus,Ostrya.Carpinus,Brassicaceae,Betulaceae,Betula,Juglans.undiff.,Rosaceae,Artemisia,Nyssa,Populus,Lamiaceae,Polygonaceae,Salicaceae,Galium,Cornus,Triglochin,Myriophyllum,Tilia,Brassica,Chenopodiaceae.sensu.stricto,Carex,Liquidambar,Morus,Nuphar,Stellaria,Myrica,Alismataceae,Plantaginaceae,Polygonum,Vitis,Sagittaria,Amorpha,Saxifragaceae,Oleaceae,Arceuthobium,Cyperaceae,Stachys,Sagittaria.1,Juniperus,Ranunculaceae,Typha,Celastraceae,Ephedra,Lamiaceae.1,Cannabaceae,Arctostaphylos,Platanus,Haloragaceae,Caryophyllaceae,Humulus,Cephalanthus,Castanea,Potentilla,Fagus,Salsola,Xanthium,Shepherdia,Larix,Myriophyllum.1,Tsuga,Dryas,Celtis,Triglochin.1,Alnus.cf..A..viridis.subsp..crispa,Sium,Agoseris,Alnus.incana,Shepherdia.undiff.,Juglans.nigra,Lamiaceae.2,Thuja,Nymphaea,Thalictrum,Sanguisorba,Elaeagnaceae,Eupatorium,Ranunculaceae.1,Potamogeton,Unknown,Indeterminable,X0,Sporormiella..DF.,Podospora..DF.,Sordaria..DF.,Apiosporaceae,Glomus,Diporotheca,Chaetomiaceae,Trichoglossum,Didorotheca,Gelasinospora,Melicla.ellisii,Geoglossum,Didymosphaeria.massarioides,Valsaria,Cercophora..DF.,X0.1,Osmunda,Lycopodium,Equisetum,Cystopteris,Dryopteris,Pteridium,Dennstaedtia,Adiantum,Sphagnum,Athyrium,Selaginella,Trees.and.Shrubs,Upland.Herbs,Aquatic.Vascular.Plants,Fungi..DF.,Pteridophytes,Aquatic.Bryophytes,Pollen.Sum,TreesandShrubs,Upland.Herbs.1,Aquatic.Vascular.Plants.1,Fungi,Pteridophytes.1,Aquatic.Bryophytes.1,Pollen.Sum.1,Fungi...Pollen.Sum,Aquatics...Pollen.Sum,Total.Picea,TotalPinus,TotalQuercus,TotalFraxinus,TotalAcer
1143.5,12106,50000,0,0.274725275,15.38461538,0,0,29.3956044,0,2.747252747,1.373626374,1.923076923,16.48351648,0,2.197802198,5.494505495,3.296703297,1.648351648,0.274725275,0,0,0,0,0.549450549,0.274725275,1.098901099,0.549450549,0.824175824,0,0,0,0,0,0.549450549,0,0,5.494505495,0,0.549450549,2.197802198,0,0.274725275,0,2.197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0.274725275,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,1.098901099,3.571428571,0,0,0.549450549,0,0,0,0,0,0,0,0,0,0,0,0,0.274725275,0,0,0.274725275,0.824175824,0,0.549450549,0.549450549,0.274725275,0,0,0,0,96.7032967,0.824175824,0.274725275,0.824175824,2.472527473,0,100,96.7032967,0.824175824,0.274725275,0.824175824,2.472527473,0,100,100.8241758,100.2747253,29.3956044,33.51648352,18.40659341,1.923076923,2.472527473
1147.5,12253,50000,0,0.595238095,5.952380952,0,0,57.73809524,0,4.761904762,0,0,9.821428571,0,1.19047619,4.761904762,0.595238095,1.19047619,0,0,0,1.19047619,0.297619048,0,0.892857143,0.297619048,0,0,0,0,0.297619048,0,0,0,0,0,2.380952381,0,0.892857143,1.785714286,0,0,0.297619048,0,0,0,0,0,0.297619048,0,0,0,0,0,0,0.595238095,0.297619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488095238,0,1.488095238,0,0,0,0,0,0,0.297619048,0,0,0,0,0,0,0,0,0,0,0,0,0.892857143,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,0,0,0.297619048,0,0,0.297619048,0,0.297619048,0,0,0,0,0,0,0,96.42857143,2.976190476,0.595238095,0.892857143,0.595238095,0,100,96.42857143,2.976190476,0.595238095,0.892857143,0.595238095,0,100,100.8928571,100.5952381,57.73809524,62.5,9.821428571,1.19047619,0.297619048
1151.5,12390,50000,0,1.492537313,8.955223881,0,0.895522388,61.49253731,2.388059701,8.059701493,0.895522388,0,2.985074627,0,2.388059701,2.985074627,0,0.597014925,0,0,0,0.298507463,0,0,0.298507463,0.298507463,0,0,0,0,0,0,0,0,0.895522388,0,2.089552239,0,0,0,0,0,0.298507463,0,0,0,0,0,0,0.597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597014925,0,0.895522388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298507463,0,0.298507463,0.597014925,0.298507463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298507463,0,0,0,0,0,0.298507463,0,0,0,98.80597015,0.597014925,0,1.194029851,0.597014925,0,100,98.80597015,0.597014925,0,1.194029851,0.597014925,0,100,101.1940299,100,62.3880597,72.8358209,2.985074627,0.597014925,0.298507463
1155.5,12560,50000,0,0.869565217,14.49275362,0,0,61.15942029,0,4.637681159,0,0.579710145,5.217391304,0,0.869565217,2.31884058,0.289855072,0.579710145,0,0,0,0.289855072,0.289855072,0,0.579710145,0.289855072,0,0,0,0,0.289855072,0,0,0.289855072,0,0,1.739130435,0,1.15942029,0.579710145,0,0,0.289855072,0,0.289855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.449275362,0,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289855072,0,0,0.579710145,0,0,0,0,0,0,0,0,0,98.26086957,1.15942029,0,0.289855072,0.579710145,0,100,98.26086957,1.15942029,0,0.289855072,0.579710145,0,100,100.2898551,100,61.15942029,65.79710145,5.797101449,0.579710145,0.289855072
1159.5,12711,50000,0,1.457725948,16.03498542,0,0.583090379,53.06122449,2.332361516,6.12244898,0,0,3.790087464,0,4.081632653,3.790087464,0,0.29154519,0.29154519,0,0,0.29154519,0,0,0.29154519,0,0,0,0,0,0.29154519,0,0,0,0.29154519,0,3.790087464,0,0.29154519,1.166180758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29154519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583090379,0,0.583090379,0.583090379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29154519,2.040816327,0,0,0.29154519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.83381924,1.166180758,0.29154519,0.29154519,0,0,100,98.83381924,1.166180758,0.29154519,0.29154519,0,0,100,100.2915452,100.2915452,53.64431487,61.51603499,3.790087464,0.583090379,0
1163.5,12873,50000,0,0.600600601,11.71171171,0,0,64.26426426,0,6.006006006,0.3003003,0,6.006006006,0,0.3003003,2.102102102,0,0.900900901,0.3003003,0.3003003,0,0.600600601,0,0,0.900900901,0,0.3003003,0,0,0,0,0,0,0.3003003,0,0,0.900900901,0,0,0.600600601,0,0,0.900900901,0,0.3003003,0,0,0,0.3003003,0.3003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900900901,0,0.900900901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600600601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1981982,1.801801802,0.3003003,0,0,0,100,98.1981982,1.801801802,0.3003003,0,0,0,100,100,100.3003003,64.26426426,70.57057057,6.006006006,1.501501502,0.3003003
1167.5,13030,50000,0,3.38028169,17.46478873,0,1.126760563,59.15492958,0,2.535211268,0,0.281690141,4.225352113,0,1.126760563,2.253521127,0,0.845070423,0.281690141,0.281690141,0,1.126760563,0,0,0.281690141,0.281690141,0,0,0,0,0,0,0,0,1.971830986,0,1.971830986,0,0,0.563380282,0,0,0,0,0,0,0,0,0,0.281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563380282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281690141,1.126760563,0,0,0,0.845070423,0,0,0,0,0.281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.87323944,1.126760563,0.281690141,0.845070423,0,0,100,98.87323944,1.126760563,0.281690141,0.845070423,0,0,100,100.8450704,100.2816901,60.28169014,61.69014085,4.507042254,1.408450704,0.281690141
1171.5,13174,50000,0,0.625,18.125,0,0,44.0625,0,3.4375,0.3125,0,8.4375,0,0.3125,3.4375,0,2.8125,0,0,0,0.3125,0.625,0,1.25,0.9375,0,0.3125,0,0,0.625,0,0,0.3125,0,0,6.5625,0,0.625,0.3125,0,0,0.625,0.3125,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0,0,0.3125,0,0,2.1875,0,0,0,0,0,0,0,0,0,0,0.625,0.625,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,96.5625,2.5,0.9375,0,0.9375,0,100,96.5625,2.5,0.9375,0,0.9375,0,100,100,100.9375,44.0625,47.8125,8.4375,2.8125,1.25
1175.5,13327,50000,0,2.476780186,23.52941176,0,0,5.882352941,0,0.619195046,0,0.619195046,12.69349845,0,4.953560372,4.334365325,2.476780186,10.21671827,0,0.309597523,0,0.92879257,0.309597523,0.309597523,0,0.309597523,0,0.309597523,0,0,0.92879257,0,0,0.309597523,0,0.92879257,19.50464396,0.309597523,0.619195046,1.238390093,0,0,1.857585139,0.92879257,0,0,0.309597523,0,0.309597523,0,0.309597523,0,0,0,0,0.309597523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476780186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309597523,0.309597523,0.309597523,0,0,0,0.92879257,2.476780186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92879257,0.309597523,0,0,0,0,0,0,0,0,91.64086687,7.120743034,2.786377709,0,1.238390093,0,100,91.64086687,7.120743034,2.786377709,0,1.238390093,0,100,100,102.7863777,5.882352941,6.501547988,13.3126935,10.52631579,0.619195046
1179.5,13470,50000,0,1.97740113,20.62146893,0,0,7.627118644,0,0.282485876,0,1.97740113,15.81920904,0,6.497175141,4.519774011,2.824858757,10.4519774,0.564971751,0.564971751,0,0.847457627,0.847457627,0,1.129943503,0.282485876,0,0,0,0,1.97740113,0,0,0,0,0,12.99435028,0,0.847457627,0.282485876,0,0,0,0,1.129943503,0,0,0,0.564971751,0.282485876,0,0,0,0,0,0,0,0,0.564971751,0,0,0,0,0.282485876,0.282485876,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0.282485876,0,0,0,0.564971751,0,0.564971751,0,0,0,0,0,0,0,0,0.282485876,0,0,0,0,0,0,0,0,0.282485876,0.282485876,2.542372881,0,0,0.564971751,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542372881,0,0,0.282485876,0,0,0,0,0,0,92.65536723,4.519774011,1.412429379,0.847457627,2.824858757,0,100,92.65536723,4.519774011,1.412429379,0.847457627,2.824858757,0,100,100.8474576,101.4124294,7.627118644,7.90960452,17.79661017,11.5819209,0.282485876
