depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
1157.18,12641,533,1,533,13.325,4.8818,8.4432,1.3357,2.1797,3.1257,2.1797,-3.5821,3.93,0.37,0,0,0,0,0,0,4.4,217,,,,,,,,,,
1157.68,12661,401,1,401.4,10.3198,4.923,5.3968,1.3218,2.1642,3.1084,2.1642,-3.5868,3.95,0.37,1,1,1,1,0,259.4617,4.44,214,,,,,,,,,,
1158.19,12681,157,1,157,4.2432,4.9507,-0.7074,1.3144,2.1561,3.0994,2.1561,-3.5899,3.97,0.54,0,0,0,0,0,0,4.48,211,,,,,,,,,,
1158.73,12701,131,1,131,3.4498,4.9615,-1.5117,1.3139,2.1558,3.0996,2.1558,-3.5921,4,0.9,0,0,0,0,0,0,4.52,208,,,,,,,,,,
1159.26,12721,105,1,105,2.6923,4.9511,-2.2588,1.3182,2.1609,3.1055,2.1609,-3.5925,4.03,0.96,0,0,0,0,0,0,4.57,205,,,,,,,,,,
1159.77,12741,207,1,206.75,5.1591,4.9174,0.2416,1.3236,2.1666,3.1115,2.1666,-3.589,4.06,0.96,0,0,0,0,0,0,4.63,202,,,,,,,,,,
1160.27,12761,290,1,290,7.0732,4.8611,2.2121,1.3276,2.1699,3.114,2.1699,-3.5806,4.1,0.88,0,0,0,0,0,0,4.69,199,,,,,,,,,,
1160.76,12781,311,1,310.5,7.6678,4.7859,2.8819,1.3287,2.1689,3.1107,2.1689,-3.5672,4.13,0.75,0,0,0,0,0,0,4.75,196,,,,,,,,,,
1161.25,12801,331,1,331,8.275,4.6994,3.5756,1.3262,2.1628,3.1005,2.1628,-3.5486,4.16,0.34,1,1,1,1,0,47.6976,4.81,193,,,,,,,,,,
1161.75,12821,232,1,231.5,5.6497,4.61,1.0397,1.32,2.1516,3.0836,2.1516,-3.5255,4.19,0.59,0,0,0,0,0,0,4.88,190,,,,,,,,,,
