"Depth","Age","spike.conc","Abies","Acer.rubrum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteroideae","Betula","Botrychium.type","Brasenia","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Iso..tes","Iva.type","Juglans.nigra","Juniperus.type","Liquidambar","Lycopodium.spike","Magnolia.virginiana.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmundastrum.cinnamomeum","Ostrya.Carpinus","Persicaria.amphibia.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.fimbriatum.type","Polygonum.polygamum.type","Polypodium","Potamogeton","Pteridium.type","Quercus","Rosaceae.undiff.","Sagittaria","Salix","Sambucus","Selaginella.arenicola","Serenoa","Sporormiella","Thalictrum","Tsuga","Ulmus","Unknown","Utricularia","Vitis","total"
85,3326,NA,0,0,0,0.289855072,0,0,0,0,0,0,0,8.695652174,0,1.15942029,0,0,0,0,0,0,0.289855072,0,0,0,0,0,0,0,0.869565217,0,0.289855072,0.289855072,0,1.449275362,4.057971014,0,0,0,0,0.869565217,0,0,0.579710145,0,0,0.579710145,0,62.31884058,0.289855072,1.449275362,0,0,0,0,0,15.65217391,0,0,0,0,0,0,0,0,0,0.579710145,0.289855072,0,0,100
97,3945,NA,0,0,0,0,0,0.282885431,0,0,0,0,0,1.131541726,0,1.414427157,0,0,0,0,0,0,0.848656294,0,0,0,0,0,0,0,0.282885431,0,0,0,0.282885431,1.414427157,1.697312588,0,0.282885431,0,0,0,0.282885431,0,0.282885431,0,0,0,0,79.63224894,0.282885431,0.565770863,0,0,0,0,0,11.31541726,0,0,0,0,0,0,0,0,0,0,0,0,0,100
105,4333,NA,0,0,0,0,0,0,0,0,0.541271989,0.270635995,0,4.330175913,0,0.811907984,0,0,0,0,0,0,2.435723951,0,1.082543978,0,0,0,0.270635995,0,1.082543978,0,0,0,0.270635995,1.082543978,2.165087957,0,0.270635995,1.623815968,0,1.082543978,0,0,0.270635995,0,0,0.811907984,0,58.86332882,0,3.51826793,0,0,0,0,0.270635995,18.67388363,0,0.270635995,0,0,0,0,0,0,0,0,0,0,0,100
113,4744,NA,0,0,0,0,0,0,0.306748466,0,0,0.306748466,0,0.306748466,0,1.226993865,0,0,0,0,0,0,0.306748466,0,0.306748466,0,0,0,0.306748466,0,0.613496933,0,0,0,0.613496933,1.840490798,3.680981595,0,0.306748466,0,0,0,0,0,0.306748466,0,0,0.920245399,0,60.42944785,0,11.34969325,0,0,0,0,0,16.87116564,0,0,0,0,0,0,0,0,0,0,0,0,0,100
121,5158,NA,0,0,0,0,0,0,0,0,0,0.267379679,0,0.802139037,0,1.069518717,0,0,0,0,0,0,1.069518717,0,0.802139037,0,0,0,0.802139037,0,0.267379679,0,0,0,0.534759358,0.802139037,4.278074866,0,0.267379679,0,0,5.347593583,0.267379679,0,0.267379679,0,0,0.534759358,0,52.40641711,0,12.29946524,0,0,0,0,0,16.31016043,0,1.069518717,0,0,0,0,0,0,0,0.534759358,0,0,0,100
129,5582,NA,0,0,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294117647,0,0,2.647058824,0,0,0,0,0,0,0,0.588235294,0,0,0.294117647,0,0.294117647,3.529411765,0,0,0.294117647,0,1.176470588,0,0,0.294117647,0,0,0.294117647,0,54.41176471,0.294117647,14.11764706,0,0,0,0.294117647,0,17.64705882,0,2.647058824,0,0,0,0,0,0,0,0.294117647,0,0,0,100
137,5917,NA,0,0,0,0,0,0,3.034482759,0.551724138,0.275862069,0,0,0.551724138,0,0.551724138,0,0,0,0,0,0,7.172413793,0,0,0,0,0,0.275862069,0,0.275862069,0,0,0,0.551724138,0,2.206896552,0,0,0,0,1.103448276,0,0,0.275862069,0,0,0.275862069,0,62.20689655,0.275862069,4.689655172,0,0,0,0,0,15.17241379,0,0,0,0,0,0,0,0,0,0.275862069,0,0.275862069,0,100
145,6259,NA,0,0,0,0,0,0.277777778,0,0,0.277777778,0,0,0,0,0.555555556,0,0,0,0,0,0,1.388888889,0,0,0,0,0,0.277777778,0,0.555555556,0,0,0,0.277777778,0.833333333,9.166666667,0,0,0,0,0.277777778,0.277777778,0,0,0,0,2.777777778,0,55,0,8.611111111,0,0,0,0,0,17.77777778,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,100
153,6591,NA,0,0,0,0,0,0.606980273,0,0.303490137,0.91047041,0,0,1.213960546,0,1.517450683,0,0,0,0,0,0,1.517450683,0,0,0,0,0,0.606980273,0,0.303490137,0,0,0.303490137,0,1.213960546,4.248861912,0,0,0,0,1.213960546,0,0,0,0,0,0.303490137,0,42.33687405,0,5.766312595,0,0,0,0,0,34.90136571,0,1.213960546,0,0,0,0,0,0,0,0.303490137,0,0,1.213960546,100
161,6939,NA,0,0,0,0.283286119,0,0,0,0.283286119,0,0,0,5.099150142,0,0.566572238,0.283286119,0,0,0,0,0.283286119,3.399433428,0,0,0,0,0.283286119,0,0,1.699716714,0,0,0,0,0.849858357,3.399433428,0,0,0,0,0,0,0.283286119,0.283286119,0,0,1.133144476,0,36.54390935,0,4.815864023,0,0,0,0,0.283286119,37.11048159,0,0.849858357,0,0,0,0.283286119,0,0.283286119,0,0,0.566572238,0.849858357,0.283286119,100
