depth,age,char_mm2cm3
30,13360,469.84
40,13408,131.45
50,13456,65.23
60,13505,5.817
70,13550,14.98
80,13592,7.3
90,13669,29.11
100,13737,2.41
110,13803,9.79
120,13865,22.4
130,13915,12.66
140,13964,12.77
150,14015,23.25
159,14062,36.15
178,14164,27.96
195,14255,12.13
288,14760,17.47
310,14880,10.78
391,15321,40.76
416,15459,23.26
447,15624,30.17
481,15806,57.06
