Depth,Age,Abies,Picea,Pinus.undiff,Pinus.sub..Pinus,Pinus.sub..Strobus,Tsuga,Acer.saccharum,Acer.rubrum,Acer.undiff,Acer.saccharinum,Alnus.rugosa,Betula,Carya,Castanea,Cephalanthus,Cornus,Corylus,Cupressaceae,Fagus,Fraxinus.undifferentiated,Fraxinus.nigra,Fraxinus.pennsylvanica,Juglans,Larix,Liquidambar,Morus,Myricaceae,Nyssa,Ostrya.Carpinus.type,Planera,Platanus,Populus,Quercus,Salix,Tilia,Ulmus,Ambrosia.type,Apiaceae,Araliaceae,Arceuthobium,Artemisia,Total.Asteraceae,Brassicaceae,Campanula,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Epilobium,Equisetum,Fabaceae,Gallium,Lamiaceae,Nuphar,Nymphea,Magnolia.Liliaceae,Mentha,Menyathes,Myriophyllum,Onagraceae,Pediastrum.spp,Plantaginaceae,Poaceae,Polemonium,Polygonaceae,Potentilla,Prunella,Rosaceae,Ranunculaceae,Rumex,Sagittaria,Sparganium,Stellaria,Thalictrum,Typha,Urtica,Marker,Upland.Pollen.Sum,TreesandShrubs,Aquatic,Upland.Herbs,Total.Pinus
165,13223,0.210970464,36.07594937,4.852320675,0.421940928,0,0,0.421940928,0,0,0,0,1.476793249,1.054852321,0.210970464,0,0,0.210970464,0,0.210970464,1.687763713,3.375527426,0.843881857,0,0,0.210970464,0,0,0,0.632911392,0,0,0.421940928,17.29957806,0.421940928,0,0.210970464,2.53164557,0,0,0,0.843881857,2.953586498,0,0,0,0.210970464,4.219409283,0,0,0.210970464,0,0,0,0,0,0,0,0,0,0,0,4.008438819,0,0,0,0,0.843881857,0,0,1.054852321,0,0,0,1.687763713,0.210970464,4.430379747,87.97468354,70.25316456,1.054852321,16.66666667,5.274261603
170,13592,0.105485232,33.64978903,6.223628692,0.632911392,0,0,0,0,0,0,0,1.054852321,0.210970464,0.210970464,0,0,0.210970464,0,0,1.265822785,2.742616034,0.632911392,0.210970464,0,0,0,0,0.210970464,0.632911392,0,0,0.210970464,14.76793249,0,0,0.843881857,2.320675105,0,0,0,0.421940928,1.265822785,0,0,0,0,6.751054852,0.210970464,0,0,0,0,0,0,0,0,0,0,0,0.421940928,0,4.008438819,0,0,0,0,0.421940928,0,0,0,0,0,0.632911392,1.476793249,0.421940928,3.375527426,81.75105485,63.8185654,1.054852321,16.87763713,6.856540084
175,14237,0.105485232,29.95780591,5.379746835,1.054852321,0,0,0,0.210970464,0,0,0,0.210970464,0.421940928,0.210970464,0,0,0.843881857,0,0,1.898734177,2.109704641,0.632911392,0,0,0,0,0,0,2.53164557,0,0,0.210970464,19.62025316,0.632911392,0,0,2.320675105,0,0,0,1.476793249,3.58649789,0,0,0,0,7.805907173,0,0,0,0,0,0.632911392,0,0,0,0,0,0,0.421940928,0,5.696202532,0,0,0,0,0.210970464,0,0,0,0,0,0,2.109704641,0,2.53164557,89.24050633,66.03375527,1.054852321,22.15189873,6.434599156
180,14778,0.105485232,22.67932489,6.540084388,0,0,0,0.843881857,0,0.421940928,0,0,1.265822785,2.109704641,0,0,0,1.476793249,0,0,1.265822785,1.054852321,1.898734177,0.210970464,0,0,0,0,0,5.274261603,0,0,0.421940928,19.83122363,0.421940928,0.210970464,1.265822785,9.071729958,0,0,0,0.210970464,1.476793249,0,0,0,0,7.594936709,0,0,0.210970464,0,0,0.210970464,0,0,0,0,0,0,0.632911392,0,7.172995781,0,0,0,0,1.265822785,0,0,0,0,0,0.632911392,1.476793249,0.843881857,5.696202532,97.25738397,67.29957806,1.476793249,28.48101266,6.540084388
185,14968,0.210970464,31.64556962,13.60759494,1.265822785,0,0,0.421940928,0,0,0,0,0.210970464,0.421940928,0.632911392,0.210970464,0,0.843881857,0,0,0.421940928,1.898734177,0.843881857,0,0,0,0,0,0,0.632911392,0,0,0.421940928,10.33755274,0.421940928,0,0.210970464,2.953586498,0,0,0,1.054852321,1.687763713,0,0,0,0,6.751054852,0,0,0,0,0,0.210970464,0,0,0,0,0,0,1.687763713,0,4.430379747,0,0,0,0,0.210970464,0,0,0,0,0,0.210970464,1.265822785,0.210970464,7.594936709,83.43881857,64.66244726,2.109704641,16.66666667,14.87341772
190,15140,0,37.34177215,13.08016878,0.632911392,0,0,0,0,0,0,0,0.421940928,0,0,0,0,0.421940928,0,0,0.421940928,0.843881857,0.632911392,0,0,0,0,0,0,0.632911392,0,0,0.632911392,7.805907173,1.054852321,0,0,0.210970464,0,0,0,0.421940928,1.054852321,0,0,0,0,5.696202532,0,0,0.210970464,0,0,0,0,0,0,0,0,0,0.632911392,0,1.687763713,0,0.210970464,0,0,0.632911392,0,0,0.210970464,0,0,0.421940928,0.632911392,0,5.907172996,75.10548523,63.92405063,1.265822785,9.915611814,13.71308017
195,15292,0.210970464,33.43881857,14.34599156,1.265822785,0.421940928,0,1.054852321,0,0,0,0,0.210970464,0,0,0,0,1.476793249,0,0,0.843881857,0.843881857,1.687763713,0,0,0,0,0,0,0,0,0,0,9.071729958,0.843881857,0,0.210970464,0.421940928,0,0,0,0.843881857,1.898734177,0,0,0,0.210970464,6.11814346,0,0,0.210970464,0,0,0,0,0,0,0,0.210970464,0,2.53164557,0,2.742616034,0,0.210970464,0,0,0.632911392,0,0,0,0,0,0.421940928,1.476793249,0,4.219409283,81.11814346,65.92827004,3.164556962,12.02531646,16.03375527
210,15711,0.843881857,34.59915612,12.55274262,0.632911392,0,0,0.210970464,0,0,0,1.265822785,0.210970464,0,0.843881857,0,0,0.632911392,0,0,0.421940928,1.265822785,1.898734177,0,0,0,0,0,0,0.421940928,0,0,0,8.860759494,0.421940928,0,0.421940928,0.210970464,0,0,0,1.265822785,1.054852321,0,0,0,0.632911392,4.430379747,0,0,0,0,0,0,0,0,0,0.210970464,0,0,2.320675105,0,0.421940928,0,0,0,0,0,0,0,0.210970464,0,0,0.210970464,0.632911392,0,12.44725738,74.57805907,65.50632911,2.742616034,6.329113924,13.18565401
215,15831,0.105485232,40.29535865,12.97468354,0.632911392,0,0,0.210970464,0,0,0,0.421940928,0.421940928,0,0.421940928,0,0.421940928,0.421940928,0,0,0.421940928,1.687763713,0.210970464,0.210970464,0,0,0,0,0,0,0,0,0.632911392,7.594936709,0.632911392,0,0.421940928,0.632911392,0,0,0,0.421940928,1.265822785,0,0,0,0.421940928,6.540084388,0.210970464,0,0,0,0,0,0,0,0,0,0,0,2.53164557,0,2.109704641,0,0,0,0,0.421940928,0,0,0,0,0,0.843881857,0.843881857,0,10.12658228,81.85654008,68.14345992,3.375527426,10.33755274,13.60759494
220,15947,0.210970464,38.8185654,12.34177215,2.320675105,0.210970464,0,0.421940928,0,0,0,0.421940928,0.210970464,0,0.843881857,0,0,0.210970464,0,0,0.632911392,0.210970464,0.210970464,0,0,0,0,0,0,0.210970464,0,0,0.210970464,6.329113924,0.632911392,0,0.210970464,0.421940928,0,0,0,0.210970464,1.476793249,0,0,0,0.210970464,5.063291139,0,0,0,0,0,0,0,0,0,0,0,0,1.687763713,0,1.476793249,0,0,0,0,0.210970464,0,0,0,0,0,0.210970464,0.843881857,0,9.915611814,74.78902954,64.66244726,1.898734177,8.227848101,14.87341772
225,16050,0.316455696,38.71308017,11.81434599,1.054852321,0,0,0.210970464,0,0,0,0.632911392,0.421940928,0.210970464,0.632911392,0,0,1.054852321,0,0,0.210970464,0.632911392,0.210970464,0.210970464,0,0.210970464,0,0,0,0.421940928,0,0,0,7.594936709,0,0,0.421940928,0.421940928,0,0,0,0.843881857,1.265822785,0,0,0,0,3.58649789,0,0,0,0,0,0,0,0,0,0.210970464,0,0,1.898734177,0,1.898734177,0,0,0,0,0.421940928,0,0,0,0,0,0.210970464,0.421940928,0,19.62025316,74.26160338,64.97890295,2.109704641,7.172995781,12.86919831
230,16139,0,36.07594937,16.4556962,1.898734177,0,0,0.632911392,0,0,0,0.421940928,0.421940928,0,0,0,0,0.632911392,0,0,0.210970464,1.054852321,0.210970464,0,0,0.421940928,0,0,0,0.632911392,0,0,0,6.11814346,0.843881857,0,0,1.476793249,0,0,0,1.054852321,0.632911392,0,0,0,0,6.962025316,0,0,0,0,0,0,0,0,0,0,0,0,2.320675105,0,2.320675105,0,0,0,0,0.210970464,0,0,0,0,0,0,0.632911392,0.210970464,23.62869198,79.53586498,66.03375527,2.320675105,11.1814346,18.35443038
235,16231,1.054852321,30.37974684,26.37130802,2.320675105,0.210970464,0,0.210970464,0,0,0,0,0.210970464,0,0.210970464,0,0,0.210970464,0.210970464,0,0.421940928,1.265822785,0.210970464,0.210970464,0,0,0,0,0,0.421940928,0,0,0.421940928,2.953586498,0.210970464,0,0,0,0,0,0,0.421940928,0.632911392,0,0,0,0,3.58649789,0,0,0,0,0,0,0,0,0,0,0,0,1.476793249,0,2.53164557,0,0.210970464,0,0,0.421940928,0,0,0.632911392,0.210970464,0,0.632911392,1.054852321,0.210970464,11.39240506,77.21518987,67.51054852,2.742616034,6.962025316,28.90295359
240,16319,2.109704641,39.66244726,14.24050633,1.898734177,0.210970464,0,0.210970464,0,0,0,0,0.421940928,0,0.210970464,0,0,0.210970464,0,0,0.210970464,0.421940928,0,0,0,0.210970464,0,0,0,0.843881857,0,0,0,4.219409283,0.210970464,0,0,0.632911392,0,0,0,0.421940928,0.421940928,0,0,0,0.210970464,4.219409283,0,0,0.210970464,0,0.210970464,0,0,0,0,0,0,0,0.632911392,0,1.054852321,0,0.210970464,0,0,0.210970464,0,0,0,0,0,0.421940928,0.421940928,0,9.282700422,73.94514768,65.29535865,1.054852321,7.594936709,16.35021097
245,16396,0.421940928,34.17721519,21.20253165,2.109704641,0,0,0,0,0,0,0,0.210970464,0,0.421940928,0,0,0.632911392,0,0,0,0.632911392,0.210970464,0,0,0.632911392,0,0,0,0.210970464,0,0,0,3.164556962,0.421940928,0,0,0,0,0,0,1.054852321,1.898734177,0,0,0,0,4.008438819,0,0,0,0,0,0,0,0,0,0,0,0,1.054852321,0,1.476793249,0,0,0,0,0.632911392,0,0,0,0,0,0,0.210970464,0,11.39240506,73.73417722,64.45147679,1.054852321,8.227848101,23.31223629
250,16471,1.054852321,38.08016878,14.97890295,3.375527426,0,0,0.421940928,0,0,0,0.632911392,0.210970464,0,0.210970464,0.210970464,0,0,0,0,0,1.898734177,0,0,0,0.210970464,0,0,0,0.421940928,0,0,0,2.953586498,0.421940928,0,0.210970464,0,0,0,0,0.843881857,1.054852321,0,0,0,0.210970464,4.008438819,0,0,0.210970464,0,0,0,0,0,0,0,0,0,1.265822785,0,1.054852321,0,0,0,0,0.210970464,0,0,0.210970464,0,0,0.210970464,0.421940928,0,10.12658228,73.52320675,65.29535865,1.687763713,6.540084388,18.35443038
255,16551,0.632911392,28.90295359,23.41772152,4.430379747,0.421940928,0,0.210970464,0,0.210970464,0,0.421940928,0.421940928,0.210970464,0,0,0,0.210970464,0,0,0.843881857,0.421940928,0,0,0,0.210970464,0,0,0,1.265822785,0,0,0.210970464,2.109704641,0,0,0,0.210970464,0,0,0,0.421940928,1.265822785,0,0,0,0,5.274261603,0,0,0.210970464,0,0,0,0,0,0,0,0,0,0.210970464,0,1.054852321,0,0.210970464,0,0,0,0,0,0,0,0,0.632911392,0.632911392,0,8.438818565,74.47257384,64.55696203,0.843881857,9.071729958,28.27004219
260,16629,1.793248945,45.14767932,13.60759494,1.265822785,0.210970464,0,0,0,0,0,0.843881857,0,0.421940928,0.421940928,0,0.421940928,0.210970464,0,0,0.632911392,1.054852321,0.210970464,0,0,0.210970464,0,0,0,0.210970464,0,0,0,3.58649789,0.210970464,0,0.210970464,0.421940928,0,0,0,0.632911392,1.265822785,0,0,0,0,7.594936709,0,0,0,0,0,0,0,0,0,0,0,0,0.632911392,0,1.476793249,0,0.210970464,0,0,0.210970464,0,0,0,0,0,0,0.632911392,0,11.60337553,83.12236287,70.67510549,0.632911392,11.81434599,15.08438819
265,16699,1.265822785,37.02531646,18.24894515,4.008438819,0,0,0.210970464,0,0,0,0.210970464,0,0,0,0,0.210970464,0.843881857,0,0,0,1.898734177,0.210970464,0.210970464,0,0,0,0,0,0.421940928,0,0,0,2.320675105,0.421940928,0,0,0.632911392,0,0,0,1.054852321,0.421940928,0,0,0,0.421940928,5.274261603,0,0,0.210970464,0,0.210970464,0,0,0,0,0,0,0,1.054852321,0,2.53164557,0,0,0,0,0,0,0,0.210970464,0,0,0.421940928,0.210970464,0,16.66666667,78.90295359,67.51054852,1.687763713,9.70464135,22.25738397
270,16769,1.793248945,37.76371308,15.08438819,2.109704641,0,0,0,0,0,0,0,0,0,0,0,0,0.210970464,0,0,0,1.265822785,0,0,0,0,0,0,0,0,0,0,0,5.063291139,0.421940928,0,0,0.632911392,0,0,0,0.210970464,1.265822785,0,0,0,0.210970464,4.852320675,0,0,0,0,0,0,0,0,0,0,0,0,0.210970464,0,1.898734177,0,0.210970464,0,0,0.421940928,0,0,0,0,0,0.210970464,0.210970464,0.210970464,13.71308017,74.05063291,63.71308017,0.421940928,9.915611814,17.19409283
